Symbol,Name,L1_Asset_Class,L2_Asset_Class
SDY,SPDR S&P Dividend ETF,All Cap Equities,Equity 
XLY,Consumer Discretionary Select Sector SPDR Fund,Consumer Discretionary Equities,Equity 
XLP,Consumer Staples Select Sector SPDR Fund,Consumer Staples Equities,Equity 
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Corporate Bonds,Fixed Income
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,Corporate Bonds,Fixed Income
VCSH,Vanguard Short-Term Corporate Bond ETF,Corporate Bonds,Fixed Income
IGSB,iShares Short-Term Corporate Bond ETF,Corporate Bonds,Fixed Income
FLOT,iShares Floating Rate Bond ETF,Corporate Bonds,Fixed Income
IGIB,iShares Intermediate-Term Corporate Bond ETF,Corporate Bonds,Fixed Income
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,Emerging Markets Bonds,Fixed Income
VWO,Vanguard FTSE Emerging Markets ETF,Emerging Markets Equities,Equity 
IEMG,iShares Core MSCI Emerging Markets ETF,Emerging Markets Equities,Equity 
EEM,iShares MSCI Emerging Markets ETF,Emerging Markets Equities,Equity 
VGK,Vanguard FTSE Europe ETF,Europe Equities,Equity 
XLF,Financial Select Sector SPDR Fund,Financial Equities,Equity 
VEA,Vanguard FTSE Developed Markets ETF,Foreign Large Cap Equities,Equity 
IEFA,iShares Core MSCI EAFE ETF,Foreign Large Cap Equities,Equity 
EFA,iShares MSCI EAFE ETF,Foreign Large Cap Equities,Equity 
VEU,Vanguard FTSE All-World ex-US ETF,Foreign Large Cap Equities,Equity 
SCHF,Schwab International Equity ETF,Foreign Large Cap Equities,Equity 
VXUS,Vanguard Total International Stock ETF,Foreign Large Cap Equities,Equity 
IXUS,iShares Core MSCI Total International Stock ETF,Foreign Large Cap Equities,Equity 
EFAV,iShares Edge MSCI Min Vol EAFE ETF,Foreign Large Cap Equities,Equity 
SCZ,iShares MSCI EAFE Small-Cap ETF,Foreign Small & Mid Cap Equities,Equity 
SHV,iShares Short Treasury Bond ETF,Government Bonds,Fixed Income
TLT,iShares 20+ Year Treasury Bond ETF,Government Bonds,Fixed Income
IEF,iShares 7-10 Year Treasury Bond ETF,Government Bonds,Fixed Income
SHY,iShares 1-3 Year Treasury Bond ETF,Government Bonds,Fixed Income
GOVT,iShares U.S. Treasury Bond ETF,Government Bonds,Fixed Income
XLV,Health Care Select Sector SPDR Fund,Health & Biotech Equities,Equity 
VHT,Vanguard Healthcare ETF,Health & Biotech Equities,Equity 
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,High Yield Bonds,Fixed Income
JNK,SPDR Barclays High Yield Bond ETF,High Yield Bonds,Fixed Income
